GeoID, GeoName, Year, OceanSectorId, OceanSector, Establishments, Employment, Wages, GDP
15001,"Hawaii, HI",2014,1,Marine Construction,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2014,2,Living Resources,12,136,5934000,10665000
15001,"Hawaii, HI",2014,3,Offshore Mineral Extraction,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2014,4,Ship and Boat Building,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2014,5,Tourism and Recreation,541,11353,344413000,766019000
15001,"Hawaii, HI",2014,6,Marine Transportation,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2014,9,All Ocean Sectors,565,11489,350348000,776684000
15001,"Hawaii, HI",2013,1,Marine Construction,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2013,2,Living Resources,12,76,3293000,6308000
15001,"Hawaii, HI",2013,3,Offshore Mineral Extraction,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2013,4,Ship and Boat Building,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2013,5,Tourism and Recreation,537,11340,333060000,744102000
15001,"Hawaii, HI",2013,6,Marine Transportation,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2013,9,All Ocean Sectors,564,11416,336353000,750410000
15001,"Hawaii, HI",2012,1,Marine Construction,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2012,2,Living Resources,15,77,3326000,6057000
15001,"Hawaii, HI",2012,3,Offshore Mineral Extraction,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2012,4,Ship and Boat Building,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2012,5,Tourism and Recreation,531,11125,325491000,713693000
15001,"Hawaii, HI",2012,6,Marine Transportation,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2012,9,All Ocean Sectors,561,11202,328817000,719750000
15001,"Hawaii, HI",2011,1,Marine Construction,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2011,2,Living Resources,15,73,3377000,7030000
15001,"Hawaii, HI",2011,3,Offshore Mineral Extraction,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2011,4,Ship and Boat Building,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2011,5,Tourism and Recreation,532,10817,313673000,680316000
15001,"Hawaii, HI",2011,6,Marine Transportation,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2011,9,All Ocean Sectors,562,10890,317050000,687346000
15001,"Hawaii, HI",2010,1,Marine Construction,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2010,2,Living Resources,17,71,3304000,6666000
15001,"Hawaii, HI",2010,3,Offshore Mineral Extraction,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2010,4,Ship and Boat Building,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2010,5,Tourism and Recreation,539,10725,302498000,631349000
15001,"Hawaii, HI",2010,6,Marine Transportation,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2010,9,All Ocean Sectors,573,10796,305802000,638015000
15001,"Hawaii, HI",2009,1,Marine Construction,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2009,2,Living Resources,18,85,3663000,6622000
15001,"Hawaii, HI",2009,3,Offshore Mineral Extraction,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2009,4,Ship and Boat Building,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2009,5,Tourism and Recreation,531,10844,296867000,611049000
15001,"Hawaii, HI",2009,6,Marine Transportation,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2009,9,All Ocean Sectors,567,10929,300531000,617670000
15001,"Hawaii, HI",2008,1,Marine Construction,7,38,1817000,3460000
15001,"Hawaii, HI",2008,2,Living Resources,17,89,3725000,7054000
15001,"Hawaii, HI",2008,3,Offshore Mineral Extraction,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2008,4,Ship and Boat Building,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2008,5,Tourism and Recreation,517,11894,328454000,697661000
15001,"Hawaii, HI",2008,6,Marine Transportation,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2008,9,All Ocean Sectors,552,12021,333996000,708174000
15001,"Hawaii, HI",2007,1,Marine Construction,4,11,490000,988000
15001,"Hawaii, HI",2007,2,Living Resources,15,85,3609000,7122000
15001,"Hawaii, HI",2007,3,Offshore Mineral Extraction,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2007,4,Ship and Boat Building,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2007,5,Tourism and Recreation,515,12349,336506000,734025000
15001,"Hawaii, HI",2007,6,Marine Transportation,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2007,9,All Ocean Sectors,544,12445,340604000,742135000
15001,"Hawaii, HI",2006,1,Marine Construction,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2006,2,Living Resources,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2006,3,Offshore Mineral Extraction,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2006,4,Ship and Boat Building,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2006,5,Tourism and Recreation,495,12364,325051000,724263000
15001,"Hawaii, HI",2006,6,Marine Transportation,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2006,9,All Ocean Sectors,520,12364,325051000,724263000
15001,"Hawaii, HI",2005,1,Marine Construction,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2005,2,Living Resources,16,88,3804000,7961000
15001,"Hawaii, HI",2005,3,Offshore Mineral Extraction,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2005,4,Ship and Boat Building,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2005,5,Tourism and Recreation,498,12568,322759000,719496000
15001,"Hawaii, HI",2005,6,Marine Transportation,-9999,-9999,-9999,-9999
15001,"Hawaii, HI",2005,9,All Ocean Sectors,527,12656,326563000,727457000