rgn_id,year,species,category,type,Family,stock,score,ref
1,2016,Swordfish,pel_other,pelagic,Xiphiidae,Xiphias gladius,1.173,regression gap fill
2,2012,Pualu,Reef,Reef,Acanthuridae,Acanthurus blochii,0.4,
2,2013,Pualu,Reef,Reef,Acanthuridae,Acanthurus blochii,0.4,
2,2014,Pualu,Reef,Reef,Acanthuridae,Acanthurus blochii,0.4,
2,2015,Pualu,Reef,Reef,Acanthuridae,Acanthurus blochii,0.4,
2,2016,Pualu,Reef,Reef,Acanthuridae,Acanthurus blochii,0.4,
2,2012,Palani,Reef,Reef,Acanthuridae,Acanthurus dussmieri,1.2,
2,2013,Palani,Reef,Reef,Acanthuridae,Acanthurus dussmieri,1.2,
2,2014,Palani,Reef,Reef,Acanthuridae,Acanthurus dussmieri,1.2,
2,2015,Palani,Reef,Reef,Acanthuridae,Acanthurus dussmieri,1.2,
2,2016,Palani,Reef,Reef,Acanthuridae,Acanthurus dussmieri,1.2,
2,2012,Uku,reef,Reef,Lutjanidae,Aprion virescens,1.1,
2,2013,Uku,reef,Reef,Lutjanidae,Aprion virescens,1.1,
2,2014,Uku,reef,Reef,Lutjanidae,Aprion virescens,1.1,
2,2015,Uku,reef,Reef,Lutjanidae,Aprion virescens,1.1,
2,2016,Uku,reef,Reef,Lutjanidae,Aprion virescens,1.1,
2,2012,Panuhunuhu,Reef,Reef,Scaridae,Calotomus carolinus,0.43,
2,2013,Panuhunuhu,Reef,Reef,Scaridae,Calotomus carolinus,0.43,
2,2014,Panuhunuhu,Reef,Reef,Scaridae,Calotomus carolinus,0.43,
2,2015,Panuhunuhu,Reef,Reef,Scaridae,Calotomus carolinus,0.43,
2,2016,Panuhunuhu,Reef,Reef,Scaridae,Calotomus carolinus,0.43,
2,2012,Papa ulua,coastal_pelagic,Reef,Scombridae,Carangoides orthogrammus,1.37,
2,2013,Papa ulua,coastal_pelagic,Reef,Scombridae,Carangoides orthogrammus,1.37,
2,2014,Papa ulua,coastal_pelagic,Reef,Scombridae,Carangoides orthogrammus,1.37,
2,2015,Papa ulua,coastal_pelagic,Reef,Scombridae,Carangoides orthogrammus,1.37,
2,2016,Papa ulua,coastal_pelagic,Reef,Scombridae,Carangoides orthogrammus,1.37,
2,2012,White ulua,coastal_pelagic,Reef,Scombridae,Caranx ignobilis,0.93,
2,2013,White ulua,coastal_pelagic,Reef,Scombridae,Caranx ignobilis,0.93,
2,2014,White ulua,coastal_pelagic,Reef,Scombridae,Caranx ignobilis,0.93,
2,2015,White ulua,coastal_pelagic,Reef,Scombridae,Caranx ignobilis,0.93,
2,2016,White ulua,coastal_pelagic,Reef,Scombridae,Caranx ignobilis,0.93,
2,2012,Omilu,coastal_pelagic,Reef,Scombridae,Caranx melampygus,1.33,
2,2013,Omilu,coastal_pelagic,Reef,Scombridae,Caranx melampygus,1.33,
2,2014,Omilu,coastal_pelagic,Reef,Scombridae,Caranx melampygus,1.33,
2,2015,Omilu,coastal_pelagic,Reef,Scombridae,Caranx melampygus,1.33,
2,2016,Omilu,coastal_pelagic,Reef,Scombridae,Caranx melampygus,1.33,
2,2012,Roi,Reef,Reef,Serranidae,Cephalophilis argus,2.67,
2,2013,Roi,Reef,Reef,Serranidae,Cephalophilis argus,2.67,
2,2014,Roi,Reef,Reef,Serranidae,Cephalophilis argus,2.67,
2,2015,Roi,Reef,Reef,Serranidae,Cephalophilis argus,2.67,
2,2016,Roi,Reef,Reef,Serranidae,Cephalophilis argus,2.67,
2,2012,Uhu parrot-misc.,reef,Reef,Scaridae,Chlorurus perspicullatus,1.8,
2,2013,Uhu parrot-misc.,reef,Reef,Scaridae,Chlorurus perspicullatus,1.8,
2,2014,Uhu parrot-misc.,reef,Reef,Scaridae,Chlorurus perspicullatus,1.8,
2,2015,Uhu parrot-misc.,reef,Reef,Scaridae,Chlorurus perspicullatus,1.8,
2,2016,Uhu parrot-misc.,reef,Reef,Scaridae,Chlorurus perspicullatus,1.8,
2,2012,Panunu,Reef,Reef,Scaridae,Chlorurus spilurus,0.77,
2,2013,Panunu,Reef,Reef,Scaridae,Chlorurus spilurus,0.77,
2,2014,Panunu,Reef,Reef,Scaridae,Chlorurus spilurus,0.77,
2,2015,Panunu,Reef,Reef,Scaridae,Chlorurus spilurus,0.77,
2,2016,Panunu,Reef,Reef,Scaridae,Chlorurus spilurus,0.77,
2,2010,Gindai,bottom,bottom,Lutj,deep7,0.84,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2011,Gindai,bottom,bottom,Lutj,deep7,0.85,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2012,Gindai,bottom,bottom,Lutj,deep7,0.85,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2013,Gindai,bottom,bottom,Lutj,deep7,0.86,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2014,Gindai,bottom,bottom,Lutj,deep7,0.83,ten year average
2,2015,Gindai,bottom,bottom,Lutj,deep7,0.83,ten year average
2,2016,Gindai,bottom,bottom,Lutj,deep7,0.83,ten year average
2,2010,Hapuupuu,bottom,bottom,Serr,deep7,0.84,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2011,Hapuupuu,bottom,bottom,Serr,deep7,0.85,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2012,Hapuupuu,bottom,bottom,Serr,deep7,0.85,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2013,Hapuupuu,bottom,bottom,Serr,deep7,0.86,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2014,Hapuupuu,bottom,bottom,Serr,deep7,0.83,ten year average
2,2015,Hapuupuu,bottom,bottom,Serr,deep7,0.83,ten year average
2,2016,Hapuupuu,bottom,bottom,Serr,deep7,0.83,ten year average
2,2010,Kalekale,bottom,bottom,Lutj,deep7,0.84,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2011,Kalekale,bottom,bottom,Lutj,deep7,0.85,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2012,Kalekale,bottom,bottom,Lutj,deep7,0.85,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2013,Kalekale,bottom,bottom,Lutj,deep7,0.86,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2014,Kalekale,bottom,bottom,Lutj,deep7,0.83,ten year average
2,2015,Kalekale,bottom,bottom,Lutj,deep7,0.83,ten year average
2,2016,Kalekale,bottom,bottom,Lutj,deep7,0.83,ten year average
2,2010,Lehi,bottom,bottom,Lutj,deep7,0.84,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2011,Lehi,bottom,bottom,Lutj,deep7,0.85,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2012,Lehi,bottom,bottom,Lutj,deep7,0.85,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2013,Lehi,bottom,bottom,Lutj,deep7,0.86,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2014,Lehi,bottom,bottom,Lutj,deep7,0.83,ten year average
2,2015,Lehi,bottom,bottom,Lutj,deep7,0.83,ten year average
2,2016,Lehi,bottom,bottom,Lutj,deep7,0.83,ten year average
2,2010,Onaga,bottom,bottom,Lutj,deep7,0.84,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2011,Onaga,bottom,bottom,Lutj,deep7,0.85,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2012,Onaga,bottom,bottom,Lutj,deep7,0.85,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2013,Onaga,bottom,bottom,Lutj,deep7,0.86,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2014,Onaga,bottom,bottom,Lutj,deep7,0.83,ten year average
2,2015,Onaga,bottom,bottom,Lutj,deep7,0.83,ten year average
2,2016,Onaga,bottom,bottom,Lutj,deep7,0.83,ten year average
2,2010,Opakapaka,bottom,bottom,Lutj,deep7,0.84,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2011,Opakapaka,bottom,bottom,Lutj,deep7,0.85,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2012,Opakapaka,bottom,bottom,Lutj,deep7,0.85,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2013,Opakapaka,bottom,bottom,Lutj,deep7,0.86,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2014,Opakapaka,bottom,bottom,Lutj,deep7,0.83,ten year average
2,2015,Opakapaka,bottom,bottom,Lutj,deep7,0.83,ten year average
2,2016,Opakapaka,bottom,bottom,Lutj,deep7,0.83,ten year average
2,2010,Striped marlin,pel_other,pelagic,Istiophoridae,Kajikia audax,0.35,ISC
2,2011,Striped marlin,pel_other,pelagic,Istiophoridae,Kajikia audax,0.31,ISC
2,2012,Striped marlin,pel_other,pelagic,Istiophoridae,Kajikia audax,0.36,ISC
2,2013,Striped marlin,pel_other,pelagic,Istiophoridae,Kajikia audax,0.39,ISC
2,2014,Striped marlin,pel_other,pelagic,Istiophoridae,Kajikia audax,0.36,regression gap fill
2,2015,Striped marlin,pel_other,pelagic,Istiophoridae,Kajikia audax,0.36,regression gap fill
2,2016,Striped marlin,pel_other,pelagic,Istiophoridae,Kajikia audax,0.36,regression gap fill
2,2010,Ehu,bottom,bottom,Lutj,Lutj,0.84,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2011,Ehu,bottom,bottom,Lutj,Lutj,0.85,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2012,Ehu,bottom,bottom,Lutj,Lutj,0.85,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2013,Ehu,bottom,bottom,Lutj,Lutj,0.86,NOAA Technical Memorandum NMFS-PIFSC-42 Nov 2014 (http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf)
2,2014,Ehu,bottom,bottom,Lutj,Lutj,0.83,ten year average
2,2015,Ehu,bottom,bottom,Lutj,Lutj,0.83,ten year average
2,2016,Ehu,bottom,bottom,Lutj,Lutj,0.83,ten year average
2,2012,Toau,Reef,Reef,Lutjanidae,Lutjanus fulvus,1.1,
2,2013,Toau,Reef,Reef,Lutjanidae,Lutjanus fulvus,1.1,
2,2014,Toau,Reef,Reef,Lutjanidae,Lutjanus fulvus,1.1,
2,2015,Toau,Reef,Reef,Lutjanidae,Lutjanus fulvus,1.1,
2,2016,Toau,Reef,Reef,Lutjanidae,Lutjanus fulvus,1.1,
2,2012,Taape,Reef,Reef,Lutjanidae,Lutjanus kasmira,2.07,
2,2013,Taape,Reef,Reef,Lutjanidae,Lutjanus kasmira,2.07,
2,2014,Taape,Reef,Reef,Lutjanidae,Lutjanus kasmira,2.07,
2,2015,Taape,Reef,Reef,Lutjanidae,Lutjanus kasmira,2.07,
2,2016,Taape,Reef,Reef,Lutjanidae,Lutjanus kasmira,2.07,
2,2010,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.13,ICS; http://isc.fra.go.jp/pdf/ISC16/ISC16_Annex_10_Stock%20Assessment%20Update%20for%20Blue%20Marlin%20in%20the%20Pacific%20Ocean%20through%202014%20(ISC%202016).pdf
2,2011,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.17,ICS; http://isc.fra.go.jp/pdf/ISC16/ISC16_Annex_10_Stock%20Assessment%20Update%20for%20Blue%20Marlin%20in%20the%20Pacific%20Ocean%20through%202014%20(ISC%202016).pdf
2,2012,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.18,ICS; http://isc.fra.go.jp/pdf/ISC16/ISC16_Annex_10_Stock%20Assessment%20Update%20for%20Blue%20Marlin%20in%20the%20Pacific%20Ocean%20through%202014%20(ISC%202016).pdf
2,2013,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.25,ICS; http://isc.fra.go.jp/pdf/ISC16/ISC16_Annex_10_Stock%20Assessment%20Update%20for%20Blue%20Marlin%20in%20the%20Pacific%20Ocean%20through%202014%20(ISC%202016).pdf
2,2014,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.25,ICS; http://isc.fra.go.jp/pdf/ISC16/ISC16_Annex_10_Stock%20Assessment%20Update%20for%20Blue%20Marlin%20in%20the%20Pacific%20Ocean%20through%202014%20(ISC%202016).pdf
2,2015,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.263,regression gap fill
2,2016,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.283,regression gap fill
2,2012,Mu,Reef,Reef,Lethrinidae,Monotaxis grandoculis,1.27,
2,2013,Mu,Reef,Reef,Lethrinidae,Monotaxis grandoculis,1.27,
2,2014,Mu,Reef,Reef,Lethrinidae,Monotaxis grandoculis,1.27,
2,2015,Mu,Reef,Reef,Lethrinidae,Monotaxis grandoculis,1.27,
2,2016,Mu,Reef,Reef,Lethrinidae,Monotaxis grandoculis,1.27,
2,2012,Weke a'a,reef,Reef,Mullidae,Mulloidichthys flavolineatus,1.63,
2,2013,Weke a'a,reef,Reef,Mullidae,Mulloidichthys flavolineatus,1.63,
2,2014,Weke a'a,reef,Reef,Mullidae,Mulloidichthys flavolineatus,1.63,
2,2015,Weke a'a,reef,Reef,Mullidae,Mulloidichthys flavolineatus,1.63,
2,2016,Weke a'a,reef,Reef,Mullidae,Mulloidichthys flavolineatus,1.63,
2,2012,Weke nono,reef,Reef,Mullidae,Mulloidichthys pflueregi,1.37,
2,2013,Weke nono,reef,Reef,Mullidae,Mulloidichthys pflueregi,1.37,
2,2014,Weke nono,reef,Reef,Mullidae,Mulloidichthys pflueregi,1.37,
2,2015,Weke nono,reef,Reef,Mullidae,Mulloidichthys pflueregi,1.37,
2,2016,Weke nono,reef,Reef,Mullidae,Mulloidichthys pflueregi,1.37,
2,2012,Weke ula,reef,Reef,Mullidae,Mulloidichthys vanicolensus,1.83,
2,2013,Weke ula,reef,Reef,Mullidae,Mulloidichthys vanicolensus,1.83,
2,2014,Weke ula,reef,Reef,Mullidae,Mulloidichthys vanicolensus,1.83,
2,2015,Weke ula,reef,Reef,Mullidae,Mulloidichthys vanicolensus,1.83,
2,2016,Weke ula,reef,Reef,Mullidae,Mulloidichthys vanicolensus,1.83,
2,2012,Menpachi,Reef,Reef,Holocentridae,Myripristis berndti,1.97,
2,2013,Menpachi,Reef,Reef,Holocentridae,Myripristis berndti,1.97,
2,2014,Menpachi,Reef,Reef,Holocentridae,Myripristis berndti,1.97,
2,2015,Menpachi,Reef,Reef,Holocentridae,Myripristis berndti,1.97,
2,2016,Menpachi,Reef,Reef,Holocentridae,Myripristis berndti,1.97,
2,2012,Opelu kala,Reef,Reef,Acanthuridae,Naso hexacanthus,0.43,
2,2013,Opelu kala,Reef,Reef,Acanthuridae,Naso hexacanthus,0.43,
2,2014,Opelu kala,Reef,Reef,Acanthuridae,Naso hexacanthus,0.43,
2,2015,Opelu kala,Reef,Reef,Acanthuridae,Naso hexacanthus,0.43,
2,2016,Opelu kala,Reef,Reef,Acanthuridae,Naso hexacanthus,0.43,
2,2012,Umaumalei,reef,Reef,Acanthuridae,Naso lituratus,0.83,
2,2013,Umaumalei,reef,Reef,Acanthuridae,Naso lituratus,0.83,
2,2014,Umaumalei,reef,Reef,Acanthuridae,Naso lituratus,0.83,
2,2015,Umaumalei,reef,Reef,Acanthuridae,Naso lituratus,0.83,
2,2016,Umaumalei,reef,Reef,Acanthuridae,Naso lituratus,0.83,
2,2012,Kala,reef,Reef,Acanthuridae,Naso unicornis,0.1,
2,2013,Kala,reef,Reef,Acanthuridae,Naso unicornis,0.1,
2,2014,Kala,reef,Reef,Acanthuridae,Naso unicornis,0.1,
2,2015,Kala,reef,Reef,Acanthuridae,Naso unicornis,0.1,
2,2016,Kala,reef,Reef,Acanthuridae,Naso unicornis,0.1,
2,2012,Moana kale,Reef,Reef,Mullidae,Parupeneus cyclostomus,0.8,
2,2013,Moana kale,Reef,Reef,Mullidae,Parupeneus cyclostomus,0.8,
2,2014,Moana kale,Reef,Reef,Mullidae,Parupeneus cyclostomus,0.8,
2,2015,Moana kale,Reef,Reef,Mullidae,Parupeneus cyclostomus,0.8,
2,2016,Moana kale,Reef,Reef,Mullidae,Parupeneus cyclostomus,0.8,
2,2012,Munu,Reef,Reef,Mullidae,Parupeneus insularis,1.9,
2,2013,Munu,Reef,Reef,Mullidae,Parupeneus insularis,1.9,
2,2014,Munu,Reef,Reef,Mullidae,Parupeneus insularis,1.9,
2,2015,Munu,Reef,Reef,Mullidae,Parupeneus insularis,1.9,
2,2016,Munu,Reef,Reef,Mullidae,Parupeneus insularis,1.9,
2,2012,Kumu,reef,Reef,Mullidae,Parupeneus porphyreus,0.5,
2,2013,Kumu,reef,Reef,Mullidae,Parupeneus porphyreus,0.5,
2,2014,Kumu,reef,Reef,Mullidae,Parupeneus porphyreus,0.5,
2,2015,Kumu,reef,Reef,Mullidae,Parupeneus porphyreus,0.5,
2,2016,Kumu,reef,Reef,Mullidae,Parupeneus porphyreus,0.5,
2,2012,Uhu parrot-misc.,reef,Reef,Scaridae,Scarus dubius,1.5,
2,2013,Uhu parrot-misc.,reef,Reef,Scaridae,Scarus dubius,1.5,
2,2014,Uhu parrot-misc.,reef,Reef,Scaridae,Scarus dubius,1.5,
2,2015,Uhu parrot-misc.,reef,Reef,Scaridae,Scarus dubius,1.5,
2,2016,Uhu parrot-misc.,reef,Reef,Scaridae,Scarus dubius,1.5,
2,2012,Uhu parrot-misc.,reef,Reef,Scaridae,Scarus psittacus,1.37,
2,2013,Uhu parrot-misc.,reef,Reef,Scaridae,Scarus psittacus,1.37,
2,2014,Uhu parrot-misc.,reef,Reef,Scaridae,Scarus psittacus,1.37,
2,2015,Uhu parrot-misc.,reef,Reef,Scaridae,Scarus psittacus,1.37,
2,2016,Uhu parrot-misc.,reef,Reef,Scaridae,Scarus psittacus,1.37,
2,2012,Uhu parrot-misc.,reef,Reef,Scaridae,Scarus rubroviolaceus,0.87,
2,2013,Uhu parrot-misc.,reef,Reef,Scaridae,Scarus rubroviolaceus,0.87,
2,2014,Uhu parrot-misc.,reef,Reef,Scaridae,Scarus rubroviolaceus,0.87,
2,2015,Uhu parrot-misc.,reef,Reef,Scaridae,Scarus rubroviolaceus,0.87,
2,2016,Uhu parrot-misc.,reef,Reef,Scaridae,Scarus rubroviolaceus,0.87,
2,2010,Tombo,tunas,pelagic,Scombridae,Thunnus alalunga,2.2,ISC; http://isc.fra.go.jp/pdf/ISC14/Annex%2011-%20NPALB%20Stock%20Assessment%20Report_revsied%2029Aug14.pdf
2,2011,Tombo,tunas,pelagic,Scombridae,Thunnus alalunga,2.23,ISC; http://isc.fra.go.jp/pdf/ISC14/Annex%2011-%20NPALB%20Stock%20Assessment%20Report_revsied%2029Aug14.pdf
2,2012,Tombo,tunas,pelagic,Scombridae,Thunnus alalunga,2.22,ISC; http://isc.fra.go.jp/pdf/ISC14/Annex%2011-%20NPALB%20Stock%20Assessment%20Report_revsied%2029Aug14.pdf
2,2013,Tombo,tunas,pelagic,Scombridae,Thunnus alalunga,2.19,10 year mean
2,2014,Tombo,tunas,pelagic,Scombridae,Thunnus alalunga,2.19,10 year mean
2,2015,Tombo,tunas,pelagic,Scombridae,Thunnus alalunga,2.19,10 year mean
2,2016,Tombo,tunas,pelagic,Scombridae,Thunnus alalunga,2.19,10 year mean
2,2010,Yellowfin tuna,tunas,pelagic,Scombridae,Thunnus albacares,1.33,SPC
2,2011,Yellowfin tuna,tunas,pelagic,Scombridae,Thunnus albacares,1.3,SPC
2,2012,Yellowfin tuna,tunas,pelagic,Scombridae,Thunnus albacares,1.22,SPC
2,2013,Yellowfin tuna,tunas,pelagic,Scombridae,Thunnus albacares,1.28,regression gap fill
2,2014,Yellowfin tuna,tunas,pelagic,Scombridae,Thunnus albacares,1.26,regression gap fill
2,2015,Yellowfin tuna,tunas,pelagic,Scombridae,Thunnus albacares,1.24,regression gap fill
2,2016,Yellowfin tuna,tunas,pelagic,Scombridae,Thunnus albacares,1.2022,regression gap fill
2,2010,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.92,SPC
2,2011,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.86,SPC
2,2012,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.79,SPC
2,2013,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.87,regression gap fill
2,2014,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.85,regression gap fill
2,2015,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.82,regression gap fill
2,2016,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.7508,regression gap fill
2,2010,Swordfish,pel_other,pelagic,Xiphiidae,Xiphias gladius,1.14,2014 stock assessment ISCT for West and Central North Pacific
2,2011,Swordfish,pel_other,pelagic,Xiphiidae,Xiphias gladius,1.13,2014 stock assessment ISCT for West and Central North Pacific
2,2012,Swordfish,pel_other,pelagic,Xiphiidae,Xiphias gladius,1.2,2014 stock assessment ISCT for West and Central North Pacific
2,2013,Swordfish,pel_other,pelagic,Xiphiidae,Xiphias gladius,1.3,regression gap fill
2,2014,Swordfish,pel_other,pelagic,Xiphiidae,Xiphias gladius,1.14,regression gap fill
2,2015,Swordfish,pel_other,pelagic,Xiphiidae,Xiphias gladius,0.99,regression gap fill
2,2016,Swordfish,pel_other,pelagic,Xiphiidae,Xiphias gladius,1.173,regression gap fill
