Name1,ISLAND,AREA,PERIMETER,AP,AR,No_Restora,Education_,Destroyed,Unknown,Ref1,TMK,Side
'Aimakapa'a,Hawaii,11.69328807,1006.096,0,1,0,1,0,0,Apple & Kikuchi-1975,7-4-08:10,West
Hala-O-Mapuana,Hawaii,0.128000165,99.26281253,0,0,0,0,0,1,DHM 1990,7-7-4:52,West
Heleipalala,Hawaii,0.038800183,47.282,0,1,0,1,0,0,DHM1990,8-4-11:,West
Kahapapa-Ku'uali'i,Hawaii,4.219292743,822.3915497,0,1,0,1,0,0,DHM 1990, ,West
Kaloko,Hawaii,11.64722064,1085.829,0,1,0,1,0,0,DHM 1990,7-3-09:2,West
Kanonone,Hawaii,0.393470119,169.943,0,0,1,0,0,0,Haun & Walker-1987,9-2-01:72,West
Kaulana,Hawaii,1.11151049,302.9009757,0,1,0,1,0,0,DHM 1990,7-2-05:3,West
Ka'upulehu,Hawaii,0.124364174,105.681,0,1,0,1,0,0,Apple & Kikuchi-1975,7-2-03:2,West
Keahialaka,Hawaii,25.08545994,2938.152,0,0,0,0,1,0,DHM 1990,1-3-08:15,west
Keawaiki,Hawaii,0.533830958,221.76,0,0,1,0,0,0,Kikuchi-1973,7-1-03:3,West
Kua,Hawaii,0.696515869,222.1176891,0,0,0,0,0,1,, ,West
Kuki'o,Hawaii,0.707891734,235.3265955,0,0,0,0,0,1,DHM 1990,7-2-04:5,West
Lahuipua'a,Hawaii,0.087467651,113.9489274,0,1,0,1,0,0,DHM 1990,6-8-22:16,West
Luahinewai,Hawaii,0.415164512,169.881,0,1,0,1,0,0,DHM 1990,7-1-02:8,West
Makaha,Hawaii,0.234918175,117.8528797,0,0,1,0,0,0,DHM 1990, ,West
Makaloa,Hawaii,0.032833352,48.992,0,1,0,1,0,0,DHM 1990,8-4-11:,West
Makeo,Hawaii,0.902182947,319.6674994,0,0,0,0,0,1,DHM 1990,7-5-05:,West
'Opae'ula,Hawaii,3.082607594,615.715,0,1,0,1,0,0,Apple & Kikuchi-1975,7-2-04:1,West
Pa'aiea,Hawaii,81.76644349,12896.289,0,0,0,0,1,0,McCoy & Heiken 2000,various TMKs,West
Waielepi,Hawaii,0.234800735,126.103,0,1,0,1,0,0,DHM 1990,7-1-02:2,West
Waikauhi,Hawaii,0.312038721,145.693,0,1,0,1,0,0,DHM 1990,7-2-03:1,West
Waikua'ala,Hawaii,0.024361385,45.98412077,0,0,0,0,0,1,DHM 1990,7-8-14:01,West
Wainanali'i,Hawaii,2.568740603,848.1387409,0,1,0,1,0,0,Apple & Kikuchi-1975,7-1-02:4,West
Waipuhi,Hawaii,0.41397343,217.89,0,1,0,1,0,0,DHM 1990,6-8-22:16,West
Weliweli ponds,Hawaii,0.116215007,91.233,0,0,1,0,0,0,Kikuchi-1973,7-1-03:9,West
 Hilo'e Iki,Hawaii,0.761196182,231.138,0,0,1,0,0,0,Apple & Kikuchi-1975,9-5-19:12,East
'Akahi,Hawaii,0.140448695,102.2068387,0,0,1,0,0,0,DHM 1990,2-1-16:1,East
Ha'ena,Hawaii,6.08517326,1020.314,0,1,0,1,0,0,Kikuchi-1973,1-6-01:1,East
Haleolono,Hawaii,1.186959633,167.213,0,1,0,1,0,0,Kikuchi-1973,2-1-15:42,East
Hilo'e,Hawaii,3.837600999,604.539,0,0,1,0,0,0,Apple & Kikuchi-1975,9-5-19:12,East
Honokea,Hawaii,0.466870336,1889.35722,0,1,0,1,0,0,DHM 1990,2-1-18:26,East
Honu'apo,Hawaii,4.044852661,624.162,0,0,1,0,0,0,Apple & Kikuchi-1975,9-5-14:7,East
'Ilo'i,Hawaii,0.995470842,322.095,0,0,1,0,0,0,DHM 1990,"9-6-01:2,3",East
Kakaauki,Hawaii,4.373403551,17698.53625,0,0,1,0,0,0,Reg2385- Dove- 1896,,East
Kanakea,Hawaii,0.922226009,241.4598293,0,0,1,0,0,0,DHM 1990,"2-1-06:10,15",East
Kanenelu,Hawaii,4.384503685,713.446,0,0,1,0,0,0,Hansen & Kelly-1972,9-4-01:14,East
Kapoho,Hawaii,3.42595724,513.995,0,0,1,0,0,0,Cox-1983,1-4-02:36,East
Kaumau,Hawaii,0.08101276,68.446,0,1,0,0,0,0,DHM 1990,2-1-18:27,East
Kawa'a Springs,Hawaii,0.24316976,124.5040265,0,1,0,1,0,0,DHM 1990, ,East
Keokea,Hawaii,1.86437079,378.436,0,0,1,0,0,0,DHM 1990,2-1-14:13,East
Kikoa,Hawaii,0.915832942,388.256,0,0,0,0,1,0,DHM 1990,1-2-03:12,East
Kionakapahu,Hawaii,1.765315777,621.979,0,1,0,1,0,0,Kikuchi-1973,2-1-16:1,East
Konohiki,Hawaii,0.50627218,180.173446,0,0,1,0,0,0,Reg2385- Dove- 1896,,East
Lalakea,Hawaii,11.44813748,974.067,0,1,0,1,0,0,Kikuchi-1971,4-9-03:6,East
Leleiwi,Hawaii,0.074939945,73.925,0,0,1,0,0,0,DHM,"2-1-18,19: various",East
Lokoaka,Hawaii,18.80266055,1568.089,1,1,0,0,0,0,Apple & Kikuchi-1975,2-1-16:1,East
nameless,Hawaii,0.106238685,82.473,0,0,1,0,0,0,DHM 1990,2-1-14:35,East
Waiahole,Hawaii,0.326464357,146.1819275,0,1,0,1,0,0,DHM 1990, ,East
Waiahukini,Hawaii,0.161589339,98.04238684,0,0,1,0,0,0,DHM 1990, ,East
Waiaka,Hawaii,0.233965208,122.1937353,0,0,1,0,0,0,DHM 1990,1-2-28:various,East
Waiakolea,Hawaii,1.529913871,353.032,0,0,0,0,1,0,DHM 1990,"1-2-03:5,6",East
Waihonu,Hawaii,1.848580636,633.234,0,0,1,0,0,0,Reg1076- Lyman- 1883,2-1-03:1,East
Waiopae (concentration),Hawaii,0.107171871,81.348,0,0,1,1,0,0,DHM 1990,"1-4-2:3,51,68various",East